composition,id,energyperatom
N1V1,icsd_076526,-8.2838175
Mn1O4W1,icsd_067908,-8.28324083333
C3N4,icsd_083265,-8.28290542857
La2O5Ti1,icsd_247561,-8.282741171869999
La2O7Ti2,icsd_164027,-8.28258377273
C3N4,icsd_041952,-8.28192542857
N1V1,icsd_169821,-8.278344
Mo1O6Y2,icsd_099575,-8.27304752778
C1Nb2,icsd_163747,-8.27249
La3Nb1O7,icsd_079481,-8.27103147727
La3Nb1O7,icsd_010058,-8.270230999999999
La4O12Ti3,icsd_091765,-8.270067
Mo4O11Y4,icsd_281037,-8.268100657889999
La3N6Nb2,icsd_411473,-8.26642354545
O2Ti1,icsd_154610,-8.265172
N1Y1,icsd_183180,-8.2626905
Mo2O7Y2,icsd_202522,-8.26157045455
O7Sc2Si2,icsd_016214,-8.25774890909
O2Ti1,icsd_015409,-8.254118708330001
O2Ti1,icsd_069331,-8.25336416667
Mn1O3Y1,icsd_422988,-8.251800366669999
Mn1O3Y1,icsd_182285,-8.25155386667
O2Ti1,icsd_041056,-8.251376083330001
Mn1O3Y1,icsd_422987,-8.2508533
O4V1Y1,icsd_036060,-8.24980541667
N1V1,icsd_167800,-8.2476425
O2Ti1,icsd_015328,-8.24607891667
Mn1Mo1N2,icsd_081489,-8.242535
C10K1,icsd_066879,-8.24068595455
La2O9Si1Ti2,icsd_075583,-8.23970185714
Mn1O3Y1,icsd_422990,-8.238381200000001
Mn1O3Y1,icsd_166217,-8.23774765
C10Rb1,icsd_066880,-8.23621043939
O6V2W1,icsd_002576,-8.23421133333
O6V2W1,icsd_002575,-8.234203888889999
N1V1,icsd_604393,-8.23366
B2Mn1W2,icsd_044449,-8.2329647
O6V2W1,icsd_028489,-8.2291875
O17Ti9,icsd_009042,-8.227398307689999
Al3C3Co1W9,icsd_421253,-8.22706521875
La1Nb5O14,icsd_033783,-8.2268557625
Mn1N2Si1,icsd_023527,-8.2240808125
O15Ti8,icsd_009041,-8.22371617391
La5O15Ti4,icsd_072987,-8.22331404167
O13Ti7,icsd_009040,-8.218899
Mo1N1,icsd_151773,-8.2184981875
Mo1N1,icsd_151774,-8.2184844375
O4V1Y1,icsd_246710,-8.2180835
Nb1O2,icsd_000096,-8.2153506875
Nb1O2,icsd_035181,-8.21518616667
Mo1N1,icsd_099452,-8.2140998125
O11Ti6,icsd_035121,-8.21261826471
O2Ti1,icsd_075179,-8.21094575
Mo1N1,icsd_168366,-8.208325125
O2Ti1,icsd_657748,-8.2065515
Cr2O6W1,icsd_020314,-8.2063845
Nb3O6Ti1,icsd_280002,-8.2048044
O11Ti6,icsd_090958,-8.20430594118
Nb12O33W1,icsd_023799,-8.204244739129999
Mn1N2Si1,icsd_172194,-8.203428875
Cr1O3Y1,icsd_028909,-8.2033694
O9Ti5,icsd_009038,-8.203067714289999
N1V1,icsd_644847,-8.2022655
Si3W5,icsd_073331,-8.2019218125
La1Nb7O12,icsd_082138,-8.1988486375
O2Ti1,icsd_154035,-8.19768341667
Cr1O5Ti2,icsd_065219,-8.196781
Mn1Nb2O6,icsd_015856,-8.194919083330001
Cr1La1O3,icsd_091270,-8.1946996
Cr1La1O3,icsd_173469,-8.19468935
La1O3V1,icsd_073900,-8.1940388
La1O3V1,icsd_073898,-8.19403245
La1O3V1,icsd_073899,-8.193412799999999
La1O3V1,icsd_073901,-8.1920342
Nb12O29,icsd_160157,-8.18997787805
O7Ti4,icsd_006098,-8.18970163636
Nb12O29,icsd_155016,-8.189359219510001
Nb12O29,icsd_155017,-8.189352512200001
Cr1La1O3,icsd_167590,-8.1882336
Ba1Mn3O38Ti18,icsd_081584,-8.18818686667
O9Ti3V2,icsd_108830,-8.18716510714
C1Ti1,icsd_618944,-8.184769500000002
La2O5Si1,icsd_109414,-8.18458428125
N4Si3,icsd_016818,-8.18220042857
N4Si3,icsd_034096,-8.18160942857
Mn1O3Ti1,icsd_184649,-8.1805973
Mn1O4Ti2,icsd_022383,-8.17877942857
La4O30Si4Ti9,icsd_067556,-8.17729934043
C3N4,icsd_083261,-8.17679010714
Fe1La5O17Ti4,icsd_154413,-8.17649822222
Nb1O2,icsd_645141,-8.17408933333
O7Sc2Si2,icsd_001457,-8.17341927273
La1N5Si3,icsd_130022,-8.17322419444
La1O3Ti1,icsd_063572,-8.16788825
La1O3Ti1,icsd_063573,-8.1678383
O5Ti3,icsd_026492,-8.16528975
O5Ti3,icsd_075194,-8.165277125
Cr1N1,icsd_181079,-8.162257
O5Ti3,icsd_035148,-8.160449625
C8Ca1N6,icsd_164652,-8.1603204
Hf3P1,icsd_035439,-8.1525595
Mn1O3Sc1,icsd_079253,-8.151902733330001
Mn1O3Sc1,icsd_050694,-8.151895699999999
Ba1Hf1O9Si3,icsd_183835,-8.15002114286
La1O3V1,icsd_063520,-8.1486449
La2O7Si2,icsd_071807,-8.148086068180001
La4O22Si4Ti5,icsd_079318,-8.14765728571
Mn1O3Ti1,icsd_065359,-8.1468098
N3V2,icsd_182700,-8.146389
Mn1Nb3O6,icsd_089477,-8.1443769
B4C4Nb7,icsd_411624,-8.14343973333
Al1O3Y1,icsd_004115,-8.14161525
C1Co2W4,icsd_150861,-8.14151225
Hf2P1,icsd_024350,-8.141038916669999
C3N4,icsd_041950,-8.14103171429
La2O7Si2,icsd_092498,-8.140688545449999
O2Ti1,icsd_041493,-8.13813733333
Mn1O3Ti1,icsd_184651,-8.13543035
Mn3O6W1,icsd_074952,-8.1347883
Cr2Mn1O4,icsd_167400,-8.13270085714
Fe1O3Zr1,icsd_247122,-8.1300685
Cr1La1O3,icsd_041061,-8.127722
Cr1N1Nb1,icsd_016496,-8.12755683333
Cr1N1Nb1,icsd_023779,-8.12755633333
O3Ti2,icsd_009657,-8.1230308
La1O3Ti1,icsd_028908,-8.1213322
Mo1N1,icsd_168368,-8.121099875
